Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;56:A7:03:A7:1A:F3;;1;No;WPA2,AES-CCM;No;54.0;0;62;0;0;0;0;0;;;Fri Feb 26 16:08:38 2021;Fri Feb 26 16:15:16 2021;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ZD8400_2.4;2C:61:04:D1:58:E0;;1;No;WPA2,AES-CCM;No;54.0;0;46;0;35;0;0;35;;;Fri Feb 26 16:08:37 2021;Fri Feb 26 16:15:17 2021;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;CC:08:FB:8E:00:9A;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Feb 26 16:10:17 2021;Fri Feb 26 16:12:54 2021;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;54:A7:03:C5:9C:67;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Feb 26 16:12:31 2021;Fri Feb 26 16:12:31 2021;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;64:09:80:33:A5:F6;;1;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Fri Feb 26 16:08:37 2021;Fri Feb 26 16:09:00 2021;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;88:25:93:77:80:3E;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Feb 26 16:12:17 2021;Fri Feb 26 16:12:48 2021;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;TP-LINK;54:A7:03:D7:1A:F3;;1;No;WPA2,AES-CCM;No;54.0;0;52;0;51;0;0;51;;;Fri Feb 26 16:08:42 2021;Fri Feb 26 16:15:17 2021;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;ecube-sa-100153;68:39:43:98:CC:7C;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;140;0;0;0;0;0;;;Fri Feb 26 16:08:36 2021;Fri Feb 26 16:15:15 2021;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;56:A7:03:A5:9C:65;;1;No;WPA2,AES-CCM;No;54.0;0;2316;0;0;0;0;0;;;Fri Feb 26 16:08:35 2021;Fri Feb 26 16:15:19 2021;-45;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;TP-LINK_821;54:A7:03:C5:9C:65;;1;No;WPA2,AES-CCM;No;54.0;0;2201;0;8603;0;0;8603;;;Fri Feb 26 16:08:35 2021;Fri Feb 26 16:15:19 2021;-46;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;360å..è´¹WiFi-08;B0:D5:9D:3E:56:08;;1;No;OPN,None;No;54.0;0;2810;0;125;0;0;125;;;Fri Feb 26 16:08:35 2021;Fri Feb 26 16:15:19 2021;-44;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.253.1;
12;infrastructure;NETGEAR-2.4G-YF2;E4:F4:C6:0C:F7:5D;;1;No;WPA2,AES-CCM;No;54.0;0;3565;0;244;0;0;244;;;Fri Feb 26 16:08:35 2021;Fri Feb 26 16:15:19 2021;-39;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
